Inicio tramo;Fin de tramo;Tiempo;Distancia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El Portal;Diego de Cadiz;0,7;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diego de Cadiz;Ronda de San Telmo;0,52;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7;350;Ronda de San Telmo;San Telmo;0,7
San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8;400;San Telmo;Ronda de San Telmo;0,8
Ronda de San Telmo;Diego de Cadiz;0,52;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diego de Cadiz;El Portal;0,7;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
